id,sentence,difficulty,note_orthographe,lexical_complexite,char_length,word_length,type_token_ratio,sentence_length,avg_word_length,complexite_texte,PUNCT,ADV,CCONJ,X,AUX,DET,PRON,NUM,NOUN,INTJ,ADP,ADJ,VERB,PROPN,SCONJ
0,"Les coûts kilométriques réels peuvent diverger sensiblement des valeurs moyennes en fonction du moyen de transport utilisé, du taux d'occupation ou du taux de remplissage, de l'infrastructure utilisée, de la topographie des lignes, du flux de trafic, etc.",4,1.0,0.19400748128176268,0.1600765306122449,0.14015151515151517,0.7617311350665823,0.14015151515151517,0.3114035087719298,0.13513513513513514,0.1111111111111111,0.044444444444444446,0.022222222222222223,0.0,0.0,0.06666666666666667,0.0,0.0,0.3111111111111111,0.0,0.28888888888888886,0.06666666666666667,0.08888888888888889,0.0,0.0
1,"Le bleu, c'est ma couleur préférée mais je n'aime pas le vert!",0,1.0,0.08233358264771877,0.03698979591836734,0.04166666666666667,1.0,0.04166666666666667,0.18749999999999997,0.04804804804804805,0.125,0.125,0.0625,0.0,0.0625,0.1875,0.125,0.0,0.125,0.0,0.0,0.0,0.125,0.0625,0.0
2,Le test de niveau en français est sur le site Internet de l'école.,0,0.7692307692307692,0.08807778608825727,0.03954081632653061,0.045454545454545456,0.9226135310472662,0.045454545454545456,0.1794871794871795,0.04504504504504504,0.06666666666666667,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.4,0.0,0.26666666666666666,0.0,0.06666666666666667,0.0,0.0
3,Est-ce que ton mari est aussi de Boston?,0,1.0,0.06266403753314748,0.022959183673469385,0.026515151515151516,1.0,0.026515151515151516,0.17708333333333334,0.030030030030030026,0.1,0.1,0.0,0.0,0.0,0.0,0.1,0.0,0.3,0.0,0.1,0.0,0.1,0.1,0.1
4,"Dans les écoles de commerce, dans les couloirs de places financières, il arrive aujourd'hui de croiser de jeunes adultes de 20 ou 25 ans qui prévoient d'ouvrir une maison d'hôtes ""dans une quinzaine d'années"".",2,1.0,0.1849928082388815,0.13073979591836735,0.125,0.8224663359319632,0.125,0.26470588235294124,0.12612612612612614,0.11904761904761904,0.023809523809523808,0.023809523809523808,0.0,0.0,0.09523809523809523,0.047619047619047616,0.047619047619047616,0.23809523809523808,0.0,0.2619047619047619,0.047619047619047616,0.09523809523809523,0.0,0.0
5,voilà une autre histoire que j'ai beaucoup aimée.,1,0.625,0.07018372203712518,0.028698979591836732,0.026515151515151516,1.0,0.026515151515151516,0.27083333333333337,0.030030030030030026,0.1,0.1,0.0,0.0,0.1,0.1,0.2,0.0,0.1,0.0,0.0,0.1,0.2,0.0,0.0
6,Les médecins disent souvent qu'on doit boire un verre de vin rouge après les repas.,1,0.7999999999999998,0.08964438702658596,0.05038265306122448,0.05303030303030304,1.0,0.05303030303030304,0.21666666666666665,0.05105105105105105,0.058823529411764705,0.11764705882352941,0.0,0.0,0.0,0.17647058823529413,0.058823529411764705,0.058823529411764705,0.17647058823529413,0.0,0.11764705882352941,0.0,0.17647058823529413,0.0,0.058823529411764705
7,"Il est particulièrement observé chez les personnes ayant un besoin de popularité développé, qui considèrent dès lors le moindre signal du smartphone comme un possible indicateur de leur degré de popularité.",3,1.0,0.17225088917933587,0.1288265306122449,0.11363636363636365,0.9026428293820444,0.11363636363636365,0.30645161290322587,0.0990990990990991,0.06060606060606061,0.06060606060606061,0.0,0.0,0.030303030303030304,0.15151515151515152,0.06060606060606061,0.0,0.24242424242424243,0.0,0.21212121212121213,0.06060606060606061,0.09090909090909091,0.030303030303030304,0.0
8,J'ai retrouvé le plaisir de manger un oeuf à la coque,1,1.0,0.08041884816753926,0.031249999999999997,0.03787878787878789,1.0,0.03787878787878789,0.1590909090909091,0.036036036036036036,0.0,0.0,0.0,0.0,0.08333333333333333,0.25,0.08333333333333333,0.0,0.25,0.0,0.16666666666666666,0.0,0.16666666666666666,0.0,0.0
9,"Nous allons bien, nous habitons dans une petite maison ancienne avec un très beau jardin",2,1.0,0.09380264877647074,0.05357142857142856,0.05303030303030304,1.0,0.05303030303030304,0.24444444444444444,0.024024024024024024,0.0625,0.125,0.0,0.0,0.0,0.125,0.125,0.0,0.125,0.0,0.125,0.125,0.125,0.0625,0.0
10,Bonjour et bonne année.,0,1.0,0.051987942249722335,0.01211734693877551,0.011363636363636364,1.0,0.011363636363636364,0.24999999999999997,0.012012012012012012,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.2,0.0,0.2,0.0
